Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies)
1234,2024-01-01,2024-02-01,2024-01-03,Test task 1,(no section),,,,2024-01-15,,,Sample,,,
1235,2024-01-03,,2024-01-03,Test task 2 with a link https://google.com,Current Focus,,person@example.com,,2024-02-20,,,Sample,,,
1236,2024-01-05,,2024-01-07,💻 Test task 3 with an emoji,Maybe Later,,person2@example.com,,,,"This one has some notes
Multiple lines in fact","Sample, Sample2",,,
1237,2024-01-07,,2024-01-07,Test task 4,New Ideas,,,,,,"This one has some fancier notes
——————————————————————————
1. Testing notes
2. Yep, here we are
——————————————————————————
Todo
  Make sample text
  Make more sample text
  Add one more item",Sample,,,
1238,2024-01-03,,2024-01-03,Subtask1,,,,,,,,,Test task 2 with a link https://google.com,,
1239,2024-01-03,,2024-01-03,Subtask2,,,,,,,,,Test task 2 with a link https://google.com,,
1240,2024-01-03,,2024-01-03,Subtask3,,,,,,,,,Test task 2 with a link https://google.com,,
1241,2024-01-05,,2024-01-05,Duplicate test,Current Focus,,person2@example.com,,2024-01-05,,"This is a duplicate test
Only one duplicate should be kept
And, an incomplete task should be preferred if present",Sample2,,,
1242,2024-01-04,2024-01-04,2024-01-04,Duplicate test,Current Focus,,person2@example.com,,2024-01-04,,"This is a duplicate test
Only one duplicate should be kept
And, an incomplete task should be preferred if present",Sample2,,,
1243,2024-01-03,2024-01-03,2024-01-03,Duplicate test,Current Focus,,person2@example.com,,2024-01-03,,"This is a duplicate test
Only one duplicate should be kept
And, an incomplete task should be preferred if present",Sample2,,,
1244,2024-01-03,2024-01-03,2024-01-03,Duplicate test 2,Maybe Later,,,,2024-01-03,,"This is a duplicate test
Only one duplicate should be kept
And, an incomplete task should be preferred if present",Sample2,,,
1244,2024-01-03,2024-01-03,2024-01-03,Duplicate test 2,Maybe Later,,,,2024-01-03,,"This is a duplicate test
Only one duplicate should be kept
And, an incomplete task should be preferred if present",Sample2,,,
1244,2024-01-03,2024-01-03,2024-01-03,Duplicate test 2,Maybe Later,,,,2024-01-03,,"This is a duplicate test
Only one duplicate should be kept
And, an incomplete task should be preferred if present",Sample2,,,
